fighter,elo
Nina Nunes,1521.8191319327655
Claudio Silva,1521.6993177186564
Takeya Mizugaki,1521.654255040858
Steve Jennum,1521.3764046664548
Andre Fili,1521.2955555716544
Tim Elliott,1521.0995185328975
Thiago Alves,1520.8600577740992
Michael Trizano,1520.7961475967195
Yana Santos,1520.7276873152352
Mayra Bueno Silva,1520.3912018594647
Ante Delija,1520.3375335842923
Curtis Millender,1520.3243989785417
Felipe Lima,1520.2501917819511
Kenichi Yamamoto,1520.1736991555981
Taila Santos,1520.1665663798542
Jalin Turner,1520.0948784139473
Jacob Malkoun,1520.076639353252
Nicolas Dalby,1519.9990782637644
Douglas Silva De Andrade,1519.9455539831672
Chidi Njokuani,1519.8268112776323
Lauren Murphy,1519.795912696458
Matt Serra,1519.742118142814
Morgan Charriere,1519.7158773009728
Sara Mcmann,1519.572660221446
Sergey Khandozhko,1519.4678042077576
Saidyokub Kakhramonov,1519.4670362025904
Viviane Araujo,1519.4515137262572
Lucas Martins,1519.1593446131697
Kajan Johnson,1519.0521628020808
Drew Fickett,1518.9255639528194
Adriano Martins,1518.7804879108312
Antonio Carlos Junior,1518.7641660471695
Davi Ramos,1518.763639546161
Ed Herman,1518.7030420268034
Tyson Griffin,1518.6610760630633
Iuri Alcantara,1518.5908941184339
Cody Brundage,1518.581365155663
Olivier Aubin-Mercier,1518.4969327110161
Fatima Kline,1518.3948575496456
Maiquel Falcao,1518.0982942088476
Seokhyeon Ko,1518.087735817053
Daria Zhelezniakova,1518.0548899789499
Joanne Wood,1517.894487180798
Khalid Murtazaliev,1517.8924935229118
Serhiy Sidey,1517.4613050460032
Sergey Morozov,1517.4317013575912
Sanae Kikuta,1517.4037778232891
Nikolas Motta,1517.3135988096994
Dooho Choi,1517.2653877608168
Timothy Johnson,1517.1883980696489
Mark Hall,1517.1676219979918
Ricardo Ramos,1517.0793711505075
Remco Pardoel,1517.064439279317
Carlston Harris,1516.9283408045553
Lee Murray,1516.7701293201412
Jonathan Micallef,1516.7642594550503
Dmitry Sosnovskiy,1516.758394621352
Ikuhisa Minowa,1516.736306793522
Leslie Smith,1516.7163609547854
Jamey-Lyn Horth,1516.677371555906
Jonny Parsons,1516.6692994923762
Trey Waters,1516.610650740189
Steve Bosse,1516.5713582446117
Talita Alencar,1516.5560760665871
Pedro Nobre,1516.5544736720076
Javier Vazquez,1516.5494328358268
Gabriella Fernandes,1516.4703483187338
Mark Schultz,1516.419135120293
Jonathan Pearce,1516.3875688325702
Magomed Mustafaev,1516.3536175124084
Brad Riddell,1516.3034754057965
Alexia Thainara,1516.183789571538
Islam Dulatov,1516.1254695960988
Steve Erceg,1516.1120616966525
Isaac Dulgarian,1516.0869659917491
Ali Bagautinov,1516.0819418321582
Ramiz Brahimaj,1516.0112225906594
Mark Hughes,1516.0
Ben Earwood,1516.0
Yoshiki Takahashi,1516.0
Frank Hamaker,1516.0
Justin Martin,1516.0
Bob Cook,1516.0
Tom Murphy,1516.0
Scott Adams,1516.0
Onassis Parungao,1516.0
Tulio Palhares,1516.0
Jon Hess,1516.0
Ron Faircloth,1516.0
Jonathan Wiezorek,1516.0
Cesar Marscucci,1516.0
Enson Inoue,1516.0
Alfonso Alcarez,1516.0
Marcelo Mello,1516.0
Sione Latu,1516.0
Logan Clark,1516.0
Baisangur Susurkaev,1516.0
Rafael Carino,1516.0
Aleksandre Topuria,1516.0
Danny Silva,1515.9573776724876
Wang Guan,1515.859260821431
Levan Makashvili,1515.775452921482
Carlos Felipe,1515.719425683283
Dan Henderson,1515.6932850642602
Nora Cornolle,1515.6784264105522
Paul Sass,1515.6781317189054
David Terrell,1515.6478455533922
Brian Foster,1515.631528402366
Scott Ferrozzo,1515.5778496246858
Jake Shields,1515.556300338329
Evan Elder,1515.5099008703573
Clayton Carpenter,1515.3533892796922
Mark Robinson,1515.3274094271715
Genki Sudo,1515.2976013366472
Austin Vanderford,1515.2974036487792
Cj Fernandes,1515.263693206478
Michael Graves,1515.2324701921634
Tyrone Roberts,1515.2317254263837
Aspen Ladd,1515.1995826920772
Ariane Carnelossi,1515.1384480959468
Tom Lawlor,1515.0585051251617
Ebenezer Fontes Braga,1515.0504358869375
Hamdy Abdelwahab,1515.034362536594
Punahele Soriano,1515.00065880299
Caio Magalhaes,1514.96341489408
Matt Wiman,1514.9408008267906
Steve Nelmark,1514.933881973221
Royston Wee,1514.9292364998362
Augusto Sakai,1514.9117434711604
Joosang Yoo,1514.8974958641145
Torrez Finney,1514.8965137687414
Joe Solecki,1514.827058794349
Mario Pinto,1514.763155254702
Tainara Lisboa,1514.7017657246417
Melissa Gatto,1514.690216310277
Melsik Baghdasaryan,1514.6750823956384
Andre Roberts,1514.6604340161314
Tom Duquesnoy,1514.6410141972008
Johnny Rhodes,1514.5950719527063
Carli Judice,1514.5948394811865
Abdul-Kerim Edilov,1514.594688861952
Jeff Monson,1514.5815398321924
David Martinez,1514.5666299912705
Taiyilake Nueraji,1514.5641481572259
Yadier Del Valle,1514.501344159002
Danny Barlow,1514.472159370482
Jesus Aguilar,1514.4671900811559
Tim Boetsch,1514.4663891004254
Marina Rodriguez,1514.4658590597303
Amanda Ribas,1514.292739964926
Ronny Markes,1514.2245137639175
Brian Stann,1514.2003029212115
Lone'Er Kavanagh,1514.162741908798
Axel Sola,1514.1591552593186
Mike Kyle,1514.128292742603
Ovince Saint Preux,1514.1161532012213
Alexis Davis,1514.076556944308
Cody Haddon,1514.053017975029
Aleksei Oleinik,1514.0505820165386
Mizuki,1514.0238967758764
Jake O'Brien,1514.0038374721996
Mansur Abdul-Malik,1514.0026193103834
Patrick Cote,1513.9916507091575
Aisling Daly,1513.8632929573923
Wilson Reis,1513.826853974324
Zachary Reese,1513.7259437695805
Josefine Knutsson,1513.716620963919
Gavin Tucker,1513.637920851073
Niko Price,1513.6114104973892
Josh Samman,1513.5988628194257
Charles Radtke,1513.5898563564024
Brendan Schaub,1513.5761278135417
Joaquim Silva,1513.553067727615
Scott Holtzman,1513.4119511359756
Paddy Holohan,1513.3463034073886
Kiichi Kunimoto,1513.2841302618438
Adam Wieczorek,1513.2087049223303
Tim Credeur,1513.208154686634
Din Thomas,1512.977045701069
Christian Rodriguez,1512.9185311504293
Rich Attonito,1512.7236122653362
Carlos Condit,1512.6998212874641
Kyle Nelson,1512.6970316221013
Bea Malecki,1512.6143399972411
Paul Kelly,1512.396480187277
Soa Palelei,1512.31679129742
Elias Silverio,1512.0495604463065
Sumudaerji,1511.916133045156
Zubaira Tukhugov,1511.8512287711378
Billy Quarantillo,1511.686858141086
Amir Sadollah,1511.6407090808732
Brad Blackburn,1511.2039562369537
Ben Nguyen,1510.948437348591
Jack Jenkins,1510.8998028325211
Andrei Arlovski,1510.6998708510243
Muin Gafurov,1510.4750664843646
Hermes Franca,1510.350899507117
Yazmin Jauregui,1510.3173906886627
Paige Vanzant,1510.3010967432272
Ronaldo Rodriguez,1510.2823106070794
Manny Bermudez,1509.9123421187655
Aleksei Kunchenko,1509.864795969186
Mark Hunt,1509.8546416161807
Kendall Grove,1509.8283344835684
Gabriel Gonzaga,1509.776180502779
Jennifer Maia,1509.750105438181
Terry Etim,1509.6891258511182
Kyle Daukaus,1509.606113957519
Clint Hester,1509.041572302301
Marc Diakiese,1508.8243705937703
